,UBICACION,PROVINCIA,CIUDAD,PRECIO,PRECIO1,CP,SUPERFICIE,DORMITORIOS,SUBTIPOLOGIA,AÑO CONST,CATEGORIA
72,Málaga - Trinidad - Miraflores - Carlinda; Eugenio Gross,Málaga,Málaga,125.000,,29010,71,3,3 dormitorios,1970,Media
73,Fuengirola - Centro,Málaga,Fuengirola,105.000,,29640,90,2,2 dormitorios,1970,Media
74,Fuengirola - Centro,Málaga,Fuengirola,89.000,,29054,60,2,2 dormitorios,1971,Popular
75,Fuengirola - Centro,Málaga,Fuengirola,175.000,,29640,102,3,3 dormitorios,1968,Popular
76,Fuengirola - Centro,Málaga,Fuengirola,68.000,,29640,68,3,3 dormitorios,1972,Media
77,Fuengirola - Centro,Málaga,Fuengirola,123.000,,29640,75,1,1 dormitorio,2001,Popular
78,Antequera,Málaga,Antequera,78.000,,29200,81,3,3 dormitorios,1970,Media
79,Fuengirola - Centro,Málaga,Fuengirola,124.500,,29640,80,2,2 dormitorios,1970,Media
80,Málaga - Carretera De Cádiz ; La Paz - P. Mediterraneo - Puerta Blanca,Málaga,Málaga,85.000,,29004,60,3,3 dormitorios,1963,Popular
81,Mijas - Las Lagunas De Mijas,Málaga,Mijas,132.000,,29651,131,4,4 dormitorios,1981,Popular
82,Mijas - Las Lagunas De Mijas,Málaga,Mijas,115.000,,29651,73,2,2 dormitorios,1999,Señorial
83,Málaga - El Palo,Málaga,Málaga,155.000,,29017,90,3,3 dormitorios,1980,Media
84,Fuengirola - Centro,Málaga,Fuengirola,90.000,,29640,69,3,3 dormitorios,1972,Popular
85,Málaga - Centro ; El Molinillo - Capuchinos,Málaga,Málaga,174.300,,29013,52,2,2 dormitorios,1962,Popular
86,Málaga - Centro ; La Victoria - Olletas,Málaga,Málaga,145.000,,29013,92,3,3 dormitorios,1972,Popular
87,Málaga - Trinidad - Miraflores - Carlinda; Eugenio Gross,Málaga,Málaga,29009,,Dirección  Calle Rafaela; -1,Tipología  Piso,82,Dormitorios  3,3,1969
88,Arroyo De La Miel,Málaga,Arroyo De La Miel,129.500,,29631,87,4,4 dormitorios,1974,Popular
89,Málaga - Centro ; El Molinillo - Capuchinos,Málaga,Málaga,157.000,,29013,66,3,3 dormitorios,1968,Media
90,Málaga - Trinidad - Miraflores - Carlinda; Eugenio Gross,Málaga,Málaga,29007,,Dirección  Pje. Herrera Oria; 22,Tipología  Piso,141,Dormitorios  4,Dúplex,1989
91,Málaga - El Palo,Málaga,Málaga,250.000,,29018,120,4,4 dormitorios,1980,Popular
92,Antequera,Málaga,Antequera,127.000,,29015,101,3,3 dormitorios,1980,Media
93,Fuengirola - Centro,Málaga,Fuengirola,100.000,,29640,91,3,3 dormitorios,1970,Popular
94,Málaga - Carretera De Cádiz ; La Paz - P. Mediterraneo - Puerta Blanca,Málaga,Málaga,29004,,Dirección  Av. Gregorio Diego; 17,Tipología  Piso,75,Dormitorios  3,3,1960
95,Mijas - Las Lagunas De Mijas,Málaga,Mijas,153.500,,29651,141,3,3 dormitorios,2004,Señorial
96,Málaga - Trinidad - Miraflores - Carlinda; Eugenio Gross,Málaga,Málaga,29009,,Dirección  Calle Rafaela; 41,Tipología  Piso,133,Dormitorios  3,3,1995
97,Málaga - Ciudad Jardín ; Ciudad Jardín,Málaga,Málaga,169.900,,29014,85,3,3 dormitorios,2008,Popular
98,Málaga - Carretera De Cádiz ; Girón - Las Delicias,Málaga,Málaga,120.000,,29003,69,3,3 dormitorios,1975,Popular
99,Estepona,Málaga,Estepona,126.000,,29680,73,3,3 dormitorios,1980,Popular
100,Málaga - Centro ; Perchel - Bulto,Málaga,Málaga,299.000,,29002,86,3,3 dormitorios,1964,Señorial
101,Málaga - Centro ; La Victoria - Olletas,Málaga,Málaga,225.000,,29014,171,4,4 dormitorios,1981,Señorial
